target_id	tpm01	tpm02	tpm03	tpm04	tpm05	tpm06	tpm07	tpm08	tpm09	tpm10	tpm11	tpm12	tpm13	tpm14	tpm15
MSTRG.6092	15.20917	17.48613	15.90619	4.769484	7.13191	5.48784	2.54584	0.945062	13.01961	7.669852	3.17232	2.253038	2.47379	16.20549	16.04614
MSTRG.18759	4.972493	5.487244	4.37412	4.501898	4.75297	4.568431038	4.81854	7.872407	7.1315467	9.297889798	8.420733	8.111637701	8.8139824	10.054335	9.274062
MSTRG.8236	8.53406	8.07333	7.44135	2.71874	2.35943	2.36845	8.23231	5.01855	6.41657	13.06238	8.82501	7.13077	7.933692	4.979215	4.73355
MSTRG.15783	11.6316	13.0862	12.9517	4.870841	4.2979	4.44106	6.269337	7.2892447	7.1305765	11.013493	10.513789	8.1133188	6.807485	5.3938513	4.94158
MSTRG.12883	67.586703	55.66049781	61.6041	5.39374	3.31254	4.63779	4.827156	3.88923	10.77588	7.58898	10.78566	7.12811	2.35786	1.449067	8.766692
MSTRG.1931	3.04797	2.53518	3.25407	6.70786	5.98571	7.26389	4.97927	10.6172	6.5927	7.50297	7.12552	7.77624	7.72521	17.0644	18.3338
MSTRG.5260	5.868943407	7.5254421	7.0807534	2.660469895	1.9601685	3.872604638	7.6035376	3.687107012	12.15473836	11.5544753	13.138551	4.255525312	7.12510161	11.04026393	10.11814511
MSTRG.3328	4.566578	4.98056	4.749925	3.2552605	2.3587328	3.918212	3.94180906	13.48016	11.8938734	9.1458011	11.70703	7.751024101	11.573856	7.868989	7.12377
MSTRG.4456	0.3072	0.252484	0.297527	10.372398	10.702347	7.121621	9.37849	6.439619	7.42353	5.70215	13.18122	5.577542	5.68988	156.49	158.6943
MSTRG.16825	0.316346	0.393379	0.44822	11.09435174	8.327493	10.69593376	4.075993	2.538709	9.502316	21.08311031	13.0759324	14.4432654	7.11938309	5.07356	5.00211
MSTRG.13354	5.25978	4.75692	5.30512	3.43255	1.72782	4.34409	7.09913	12.1435	10.1246	11.3463	7.11713	8.02829	7.31088	45.8856	45.275
MSTRG.19665	13.8924	12.8039	14.8081	7.1171	5.71647	5.20329	6.389823	5.79901	27.06096	11.12772	32.42957	8.350609	6.55689	0.896648	0.0587455
MSTRG.16999	4.04537	4.14224	4.143672	8.46811	5.346958	6.94681	4.426519	5.8243	7.42593	8.30148	10.436661	7.172902	7.1162107	147.630254	154.112191
MSTRG.16369	0.942947	0.961882118	1.174967	4.00910706	3.746002	5.70625	7.77503446	3.791097	13.034259	12.60996	14.725172	7.111428	22.45106745	12.137922	11.94604
MSTRG.12663	7.29467	4.7381	5.40659	9.27902	4.94634	9.69603	3.14897	8.43642	7.1029	7.48178	3.18396	7.6577	6.71005	5.72675	7.40768
